Stock Code,Company Description
AMEH,"Apollo Medical Holdings, Inc., a physician-centric technology-powered healthcare company, provides medical care services in the United States. The company is leveraging its proprietary population health management and healthcare delivery platform, operates an integrated, value-based healthcare model which empowers the providers in its network to deliver care to its patients. It offers care coordination services to patients, families, primary care physicians, specialists, acute care hospitals, alternative sites of inpatient care, physician groups, and health plans. The company's physician network consists of primary care physicians, specialist physicians, and hospitalists. It serves patients, primarily covered by private or public insurance, such as Medicare, Medicaid, and health maintenance organization plans; and non-insured patients in California. The company was incorporated in 1985 and is headquartered in Alhambra, California."
AMGN,"Amgen Inc. discovers, develops, manufactures, and delivers human therapeutics worldwide. It focuses on inflammation, oncology/hematology, bone health, cardiovascular disease, nephrology, and neuroscience areas. The company's products include Enbrel to treat plaque psoriasis, rheumatoid arthritis, and psoriatic arthritis; Neulasta that reduces the chance of infection due a low white blood cell count in patients cancer; Prolia to treat postmenopausal women with osteoporosis; Xgeva for skeletal-related events prevention; Otezla for the treatment of adult patients with plaque psoriasis, psoriatic arthritis, and oral ulcers associated with Behçet's disease; Aranesp to treat a lower-than-normal number of red blood cells and anemia; KYPROLIS to treat patients with relapsed or refractory multiple myeloma; and Repatha, which reduces the risks of myocardial infarction, stroke, and coronary revascularization. It also markets Nplate, Vectibix, MVASI, Parsabiv, EPOGEN, KANJINTI, BLINCYTO, Aimovig, EVENITY, AMGEVITATM, Sensipar/Mimpara, NEUPOGEN, IMLYGIC, Corlanor, and AVSOLA. Amgen Inc. serves healthcare providers, including physicians or their clinics, dialysis centers, hospitals, and pharmacies. It distributes its products through pharmaceutical wholesale distributors, as well as direct-to-consumer channels. It has collaboration agreements with Novartis Pharma AG; UCB; Bayer HealthCare LLC; BeiGene, Ltd.; Eli Lilly and Company; Datos Health; and Verastem, Inc. to evaluate VS-6766 in combination with lumakrastm (Sotorasib) in patients with KRAS G12C-mutant non-small cell lung cancer. It has an agreement with Kyowa Kirin Co., Ltd. to jointly develop and commercialize KHK4083, a Phase 3-ready anti-OX40 fully human monoclonal antibody for the treatment of atopic dermatitis and other autoimmune diseases; and research and development collaboration with Neumora Therapeutics, Inc. and Plexium, Inc. Amgen Inc. was incorporated in 1980 and is headquartered in Thousand Oaks, California."
AMKR,"Amkor Technology, Inc. provides outsourced semiconductor packaging and test services in the United States, Japan, Europe, the Middle East, Africa, and Asia Pacific. It offers turnkey packaging and test services, including semiconductor wafer bump, wafer probe, wafer back-grind, package design, packaging, system-level and final test, and drop shipment services. The company provides flip chip-scale package products for smartphones, tablets, and other mobile consumer electronic devices; flip-chip stacked chip-scale packages that are used to stack memory digital baseband, and as applications processors in mobile devices; and flip-chip ball grid array packages for various networking, storage, computing, and consumer applications. In addition, it offers wafer-level CSP packages that are used in power management, transceivers, sensors, wireless charging, codecs, radar, and specialty silicon; wafer-level fan-out packages includes power management, transceivers, radar, and specialty silicon for use in ICs; and silicon wafer integrated fan-out technology, which replaces a laminate substrate with a thinner structure. Further, the company provides lead frame packages that are used in electronic devices for low to medium pin count analog and mixed-signal applications; and substrate-based wirebond packages used to connect a die to a substrate. Additionally, it offers micro-electro-mechanical systems (MEMS) packages that are miniaturized mechanical and electromechanical devices; and advanced system-in-package modules, which are used in radio frequency and front end modules, basebands, connectivity, fingerprint sensors, display and touch screen drivers, sensors and MEMS, and NAND memory and solid-state drives. The company primarily serves integrated device manufacturers, fabless semiconductor companies, original equipment manufacturers, and contract foundries. Amkor Technology, Inc. was founded in 1968 and is headquartered in Tempe, Arizona."
AMLI,"American Lithium Corp., an exploration and development stage company, engages in the acquisition, exploration, and development of resource properties in the United States. It principally focuses on the TLC Lithium Project located in the town of Tonopah, Nevada; and the Falchani Lithium project and the Macusani Uranium project located in Puno, Peru. The company was formerly known as Menika Mining Ltd. and changed its name to American Lithium Corp. in April 2016. American Lithium Corp. was incorporated in 1974 and is based in Vancouver, Canada."
AMLX,"Amylyx Pharmaceuticals, Inc., a commercial-stage biotechnology company, engages in the discovery and development of treatment for amyotrophic lateral sclerosis (ALS) and neurodegenerative diseases. The company's products include RELYVRIO, a dual UPR-Bax apoptosis inhibitor composed of sodium phenylbutyrate and taurursodiol for the treatment of ALS in adults in the United States and marketed as ALBRIOZA for the treatment of ALS in Canada. It is also developing AMX0114 for other neurodegenerative diseases. The company was founded in 2013 and is headquartered in Cambridge, Massachusetts."
AMNB,"American National Bankshares Inc. operates as the bank holding company for American National Bank and Trust Company that provides financial products and services. The company operates through two segments, Community Banking and Wealth Management. It accepts deposit products, including checking, money market, savings, and consumer and commercial time deposits. The company's loan products comprise commercial and residential real estate loans, commercial loans to small and medium-sized businesses, construction and land development loans, home equity loans, mortgage loans, and consumer loans. It also offers wealth management services, including estate planning, trust account administration, and retail brokerage services; investment management services, such as purchasing equity, fixed income, and mutual fund investments for customer accounts; online and telephone banking services; and insurance services. The company was founded in 1909 and is based in Danville, Virginia."
AMPG,"AmpliTech Group, Inc. designs, engineers, and assembles micro-wave component-based amplifiers. The company's products include radio frequency (RF) amplifiers and related subsystems, such as low noise amplifiers for use in receivers of various communication systems comprising Wi-Fi, radar, satellite, base station, cell phone, radio, etc.; and medium power amplifiers that provide enhanced output power and gain in transceiver chains. It also provides specialty microwave block downconverters used as a test device on satellite access point antennas; specialty microwave 1:2 Tx protection switch panels that is used in satellite communication earth stations; desktop/benchtop and compact wideband power amplifiers used in SATCOM rack mount systems, as well as test equipment used in integrators and manufacturers of various communications systems, such as cellular base stations, simulators, and point to point wireless radios; and waveguide to coaxial adapters for SATCOM and satellite internet gateway systems. In addition, the company offers cryogenic amplifiers for quantum computing, medical, RF imaging, research and development, space communications, accelerators, radiometry, and telephony applications; and cryogenic and non-cryogenic 4g/5g small cell subsystems for high-speed networks and airline Wi-Fi systems. Further, it provides custom assembly designs and non-recurring engineering services on a project-by-project basis, as well as IC packaging and lids products. The company serves aerospace, government, defense, commercial satellite, and wireless industries through sales representatives and distributors in the United States, Europe, the Middle East, and South Asia. AmpliTech Group, Inc. was founded in 2002 and is based in Hauppauge, New York."
AMPH,"Amphastar Pharmaceuticals, Inc., a bio-pharmaceutical company, develops, manufactures, markets, and sells generic and proprietary injectable, inhalation, and intranasal products in the United States, China, and France. The company operates through two segments, Finished Pharmaceutical Products and Active Pharmaceutical Ingredient (API). It offers Primatene Mist, an over-the-counter epinephrine inhalation product for the temporary relief of mild symptoms of intermittent asthma; Enoxaparin, a low molecular weight heparin to prevent and treat deep vein thrombosis; Naloxone for opioid overdose; Glucagon for injection emergency kit; and Cortrosyn, a lyophilized powder for use as a diagnostic agent in the screening of patients with adrenocortical insufficiency. The company also provides Amphadase, a bovine-sourced hyaluronidase injection to absorb and disperse other injected drugs; Epinephrine injection for the emergency treatment of allergic reactions; Lidocaine jelly, an anesthetic product for urological procedures; Lidocaine topical solution for various procedures; Phytonadione injection, a vitamin K1 injection for newborn babies; emergency syringe products for emergency use in hospital settings; morphine injection for use with patient controlled analgesia pumps; and Lorazepam injection for surgery and medical procedures. In addition, it offers Neostigmine methylsulfate injection to treat myasthenia gravis and to reverse the effects of muscle relaxants; Isoproterenol hydrochloride injection for mild or transient episodes of heart block; Ganirelix Acetate injection for the inhibition of premature luteinizing hormone surges in women undergoing controlled ovarian hyperstimulation; and Vasopressin to increase blood pressure in adults with vasodilatory shock. Further, the company distributes recombinant human insulin APIs and porcine insulin API. It serves hospitals, care facilities, alternate care sites, clinics, and doctors' offices. The company was founded in 1996 and is headquartered in Rancho Cucamonga, California."
AMPL,"Amplitude, Inc. provides a digital analytics platform to analyze customer behavior within digital products in the United States and internationally. It offers Amplitude Analytics provides product, marketing, experience analytics, and AI-Driven alerts; Experimentation, a solution that integrates with analytics to plan, deliver, monitor, and analyze tests and product changes; Audience Management tools leverage the data in analytics to build audience lists through behavioral segmentation or machine learning powered predictions; and Data Streaming tools helps to move event data and user profiles to other tools in customers' stacks in real-time to destinations, such as marketing platforms, ad networks, personalization engines, and others; and Amplitude CDP, an insight-driven solution that encompasses the data infrastructure, audience management, and data streaming capabilities. The company also provides customer support services related to initial implementation setup, ongoing support, and application training. It delivers its application over the Internet as a subscription service using a software-as-a-service model. The company was formerly known as Sonalight, Inc. and changed its name to Amplitude, Inc. in December 2014. Amplitude, Inc. was incorporated in 2011 and is headquartered in San Francisco, California."
AMRK,"A-Mark Precious Metals, Inc., together with its subsidiaries, operates as a precious metals trading company. It operates through three segments: Wholesale Sales & Ancillary Services, Direct-to-Consumer, and Secured Lending. The Wholesale Sales & Ancillary Services segment sells gold, silver, platinum, and palladium in the form of bars, plates, powders, wafers, grains, ingots, and coins. This segment also offers various ancillary services, including financing, storage, consignment, logistics, and various customized financial programs; and designs and produces minted silver products. The Direct-to-Consumer segment provides access to an array of gold, silver, copper, platinum, and palladium products primarily through its websites. It operates various company-owned websites targeting specific niches within the precious metals retail market. This segment also operates as a direct retailer of precious metals to the investor community and markets its precious metal products on television, radio, and the internet, as well as through customer service outreach. The Secured Lending segment originates and acquires commercial loans secured by bullion and numismatic coins; and serves coin and precious metal dealers, investors, and collectors. It serves customers, including financial institutions, bullion retailers, industrial manufacturers and fabricators, sovereign mints, refiners, coin and metal dealers, investors, collectors, and e-commerce and other retail customers. The company has operations in the United States, rest of North America, Europe, the Asia Pacific, Africa, and Australia. A-Mark Precious Metals, Inc. was founded in 1965 and is headquartered in El Segundo, California."
AMRN,"Amarin Corporation plc, a pharmaceutical company, engages in the development and commercialization of therapeutics for the treatment of cardiovascular diseases in the United States, European countries, Canada, Lebanon, and the United Arab Emirates. It offers VASCEPA, a prescription-only omega-3 fatty acid product, used as an adjunct to diet for reducing triglyceride levels in adult patients with severe hypertriglyceridemia. The company sells its products principally to wholesalers and specialty pharmacy providers. It has a collaboration with Mochida Pharmaceutical Co., Ltd. to develop and commercialize drug products and indications based on the active pharmaceutical ingredient in Vascepa. The company was formerly known as Ethical Holdings plc and changed its name to Amarin Corporation plc in 1999. Amarin Corporation plc was incorporated in 1989 and is headquartered in Dublin, Ireland."
AMSC,"American Superconductor Corporation, together with its subsidiaries, provides megawatt-scale power resiliency solutions worldwide. The company operates in two segments, Grid and Wind. The Grid segment offers products and services that enable electric utilities, industrial facilities, and renewable energy project developers to connect, transmit, and distribute power under the Gridtec Solutions brand; and engineering planning services. It provides transmission planning services, which identify power grid congestion, poor power quality, and other risks; grid interconnection solutions for wind farms and solar power plants, power quality systems, and transmission and distribution cable systems; resilient electric grid systems, resilient electric grid systems; D-VAR systems used for controlling power flow and voltage in the AC transmission system; actiVAR system, a fast-switching medium-voltage reactive compensation solution; armorVAR system installed for reactive compensation, power factor correction, loss reduction, utility bill savings, and mitigation of common power quality concerns related to power converter-based generation and load devices; and D-VAR volt var optimization (VVO) that serves the distribution power grid market. This segment also offers ship protection systems, which reduce a naval ship's magnetic signature; and in board power delivery systems, power generation systems, and propulsion systems; and transformers and rectifiers systems. The Wind segment designs wind turbine systems and licenses these designs to third parties under the Windtec Solutions brand. It supplies power electronics and software-based control systems, engineered designs, and support services; and provides customer support services to wind turbine manufacturers. This segment's design portfolio comprises a range of drivetrains and power ratings of 2 megawatts and higher. The company was incorporated in 1987 and is headquartered in Ayer, Massachusetts."
AMSF,"AMERISAFE, Inc., an insurance holding company, underwrites workers' compensation insurance in the United States. The company's workers' compensation insurance policies provide benefits to injured employees for temporary or permanent disability, death, and medical and hospital expenses. It serves small to mid-sized employers engaged in hazardous industries, including construction, trucking, logging and lumber, agriculture, manufacturing, telecommunications, and maritime. AMERISAFE, Inc. was incorporated in 1985 and is based in DeRidder, Louisiana."
AMST,"Amesite Inc., an artificial intelligence driven platform and course designer, provides online products in the United States. The company uses machine learning to offer a mass customized experience to learners. It serves businesses, universities and colleges, K-12 schools, and non-profit organizations. Amesite Inc. was incorporated in 2017 and is headquartered in Detroit, Michigan."
AMSWA,"American Software, Inc. develops, markets, and supports a range of computer business application software products in the United States and internationally. It operates through Supply Chain Management (SCM), Information Technology Consulting (IT Consulting), and Other segments. The SCM segment leverages a single platform spanning eight supply chain process areas including product, demand, inventory, network optimization supply, deploy aligned with integrated business planning and supply chain data management. The IT Consulting segment offers IT staffing and consulting services firm. Other segment provides purchasing and materials management, client order processing, financial, e-commerce, and traditional manufacturing software and services. In addition, it offers ongoing support and maintenance services; cloud hosting and managed services; and implementation and training services. The company markets its products through direct and indirect sales channels to the apparel and other soft goods, food and beverage, consumer packaged goods, consumer durable goods, wholesale distribution, specialty chemicals, and other process manufacturing industries. American Software, Inc. was incorporated in 1970 and is headquartered in Atlanta, Georgia."
AMTI,"Applied Molecular Transport Inc., a clinical-stage biopharmaceutical company, engages in the design and development of a pipeline of oral biologic product candidates to treat autoimmune, inflammatory, metabolic, and other diseases. The company's lead product candidate is AMT-101, a gastrointestinal (GI) selective oral fusion of rhIL-10 that is in Phase II clinical trials to treat patients with chronic pouchitis, as well as is in Phase II development to treat patients with rheumatoid arthritis. It develops AMT-126, a GI-selective oral fusion of interleukin 22, which is in a Phase I clinical trial for diseases related to intestinal epithelium barrier function defects. The company, through its technology platform, designs and develops various oral and respiratory biologic therapeutic modalities, such as peptides, proteins, antibodies, antibody fragments, and ribonucleic acid therapeutics. Applied Molecular Transport Inc. was founded in 2010 and is headquartered in South San Francisco, California."
AMTX,"Aemetis, Inc. operates as a renewable natural gas and renewable fuels company. It operates through three segments: California Ethanol, California Dairy Renewable Natural Gas, and India Biodiesel. The company focuses on the acquisition, development, and commercialization of negative carbon intensity products and technologies that replace traditional petroleum-based products. In addition, it produces and sells ethanol; and wet distillers grains, distillers corn oil, and condensed distillers solubles to dairies and feedlots as animal feed. Further, the company markets and supplies high-grade alcohol and hand sanitizer. Additionally, it researches and develops conversion technologies using waste feedstocks to produce biofuels and biochemicals. Furthermore, it sells biodiesel primarily to government oil marketing companies, transport companies, resellers, distributors, and private refiners through its own sales force and independent sales agents, as well as to brokers who resell the product to end-users. Aemetis, Inc. was founded in 2005 and is headquartered in Cupertino, California."
AMWD,"American Woodmark Corporation manufactures and distributes kitchen, bath, office, home organization, and hardware products for the remodelling and new home construction markets in the United States. The company offers made-to-order and cash and carry products. It also provides turnkey installation services to its direct builder customers through a network of eight service centers. The company sells its products under the American Woodmark, Timberlake, Shenandoah Cabinetry, Waypoint Living Spaces, Estate, Stor-It-All, and Professional Cabinet Solutions brands, as well as Hampton Bay, Glacier Bay, Style Selections, Allen + Roth, Home Decorators Collection, and Project Source. It markets its products directly to home centers and builders, as well as through independent dealers and distributors. The company was incorporated in 1980 and is based in Winchester, Virginia."
AMZN,"Amazon.com, Inc. engages in the retail sale of consumer products and subscriptions through online and physical stores in North America and internationally. It operates through three segments: North America, International, and Amazon Web Services (AWS). The company's products offered through its stores include merchandise and content purchased for resale; and products offered by third-party sellers. It also manufactures and sells electronic devices, including Kindle, Fire tablets, Fire TVs, Rings, Blink, eero, and Echo; and develops and produces media content. In addition, the company offers programs that enable sellers to sell their products in its stores; and programs that allow authors, musicians, filmmakers, Twitch streamers, skill and app developers, and others to publish and sell content. Further, it provides compute, storage, database, analytics, machine learning, and other services, as well as fulfillment, advertising, and digital content subscriptions. Additionally, the company offers Amazon Prime, a membership program. It serves consumers, sellers, developers, enterprises, content creators, and advertisers. The company was incorporated in 1994 and is headquartered in Seattle, Washington."
ANAB,"AnaptysBio, Inc., a clinical-stage biotechnology company, focuses in delivering immunology therapeutics. Its products include Imsidolimab, an antibody that inhibits the interleukin-36 receptor, which is in the Phase 3 trial for the treatment of generalized pustular psoriasis; Rosnilimab, an anti-PD-1 agonist antibody program designed to suppress T-cell driven inflammatory diseases by augmenting signaling through PD-1 or targeted depletion of PD-1+ T cells; and ANB032, an anti-BTLA modulator antibody applicable to human inflammatory diseases associated with lymphoid and myeloid immune cell dysregulation. The company also focuses on developing various antibody programs that are advanced to preclinical and clinical milestones under its collaborations. It has a collaboration and license agreement with GlaxoSmithKline, Inc. and Bristol-Myers Squibb; and license agreements with United Kingdom Research and Innovation, as well as Millipore Corporation. The company was formerly known as Anaptys Biosciences, Inc. and changed its name to AnaptysBio, Inc. in July 2006. AnaptysBio, Inc. was incorporated in 2005 and is based in San Diego, California."
ANDE,"The Andersons, Inc. operates in trade, renewables, and plant nutrient sectors in the United States and internationally. It operates through three segments: Trade, Renewables, and Plant Nutrient. The company's Trade segment operates grain elevators; stores commodities; and provides grain marketing, risk management, and origination services, as well as sells commodities, such as corn, soybeans, wheat, oats, and corn oil. This segment also engages in the commodity merchandising business, as well as offers logistics for physical commodities, such as whole grains, grain products, feed ingredients, domestic fuel products, and other agricultural commodities. Its Renewables segment produces, purchases, and sells ethanol, and co-products, as well as offers facility operations, risk management, and marketing services to the ethanol plants it invests in and operates. The company's Plant Nutrient segment manufactures, distributes, and retails agricultural and related plant nutrients, liquid industrial products, corncob-based products, and pelleted lime and gypsum products, as well as turf fertilizer, pesticide, and herbicide products; and crop nutrients, crop protection chemicals, and seed products, as well as provides application and agronomic services to commercial and family farmers. In addition, this segment produces corncob-based products for laboratory animal bedding and private-label cat litter, as well as absorbents, blast cleaners, carriers, and polishers; professional lawn care products for golf course and turf care markets; fertilizer and weed, and pest control products; pelleted lime, gypsum, and value add soil amendments; and micronutrients, and soil amendments, as well as industrial products comprising nitrogen reagents, calcium nitrate, deicers, and dust abatement products. The Andersons, Inc. was founded in 1947 and is based in Maumee, Ohio."
ANGH,"Anghami Inc. operates a digital music entertainment technology platform in the Middle East and North Africa. It offers digital entertainment and online streaming services, including music, podcasts, music videos, and live events; and a music application and platform that provides Arabic and international music to stream and download. The company was founded in 2012 and is headquartered in Abu Dhabi, the United Arab Emirates."
ANGI,"Angi Inc. connects home service professionals with consumers in the United States and internationally. The company's Ads and Leads, which connects consumers with service professionals for local services through nationwide online directory of service professionals in various service categories; provides consumers with valuable tools, services, and content, including verified reviews, to help them research, shop, and hire for local services; and sells term-based website, and mobile and digital magazine advertising to service professionals, as well as quoting, invoicing, and payment services. The company also owns and operates Leads digital marketplace service that connects consumers with professionals for home repair, maintenance, and improvement projects; offers consumers with tools and resources to find local, pre-screened, and customer-rated service professionals, as well as book appointments online, connect with service professionals. In addition, it operates Handy, a platform for household services; Angi Roofing, which provides roof replacement and repair services; and home services marketplaces under the Travaux, MyHammer, Werkspot, MyBuilder, and Travaux.com brands. The company was formerly known as ANGI Homeservices Inc. and changed its name to Angi Inc. in March 2021. The company was incorporated in 2017 and is headquartered in Denver, Colorado. Angi Inc. is a subsidiary of IAC/InterActiveCorp."
ANGO,"AngioDynamics, Inc. provides invasive medical devices used by professional healthcare providers for vascular access, surgery, peripheral vascular disease and oncology in the United States and internationally. It offers Auryon Atherectomy system that is designed to deliver an optimized wavelength, pulse width, and amplitude to remove lesions while preserving vessel wall endothelium for treatment of peripheral arterial disease. The company's thrombus management portfolio includes AlphaVac system, an emergent mechanical aspiration device that eliminates the need for perfusionist support; thrombolytic catheters that are used to deliver thrombolytic agents, which are drugs to dissolve blood clots in hemodialysis access grafts, arteries, veins, and surgical bypass grafts; and AngioVac circuit is indicated for extracorporeal circulatory support for periods of up to six hours including off-the-shelf pump, filter, and reinfusion cannula, to facilitate venous drainage as part of an extracorporeal bypass procedure. In addition, it offers NanoKnife IRE Ablation System, an alternative to traditional thermal ablation for the surgical ablation of soft tissue; and peripheral products, which includes angiographic catheters and diagnostic and interventional guidewires, percutaneous drainage catheters, and coaxial micro-introducer kits used during peripheral diagnostic and interventional procedures. The company also provides drainage catheters for multi-purpose/general, nephrostomy, and biliary drainage; micro Access kits provides interventional physicians a smaller introducer system for minimally invasive procedures; VenaCure EVLT system that are used in endovascular laser procedures to treat superficial venous disease; and Solero MTA System includes solero microwave generator and the specially designed solero MW applicators. AngioDynamics, Inc. was founded in 1988 and is headquartered in Latham, New York."
ANIK,"Anika Therapeutics, Inc., a joint preservation company, creates and delivers advancements in early intervention orthopedic care in the areas of osteoarthritis (OA) pain management, regenerative solutions, sports medicine, and bone preserving joint solutions in the United States, Europe, and internationally. The company develops, manufactures, and commercializes products based on hyaluronic acid (HA) technology platform. Its OA pain management products includes Monovisc and Orthovisc, an injectable HA-based viscosupplement for the pain relief from osteoarthritis conditions; Cingal, a single-injection OA pain management product to provide both short- and long-term pain relief; and Hyvisc, a molecular weight injectable HA veterinary product. The company's joint preservation and restoration product family comprises 150 bone preserving joint technology products, including partial joint replacement, joint resurfacing, and invasive and bone sparing implants, which are designed to treat upper and lower extremity orthopedic conditions; sports medicine solutions used to repair and reconstruct damaged ligaments and tendons; and orthopedic regenerative solutions, including Hyalofast and Tactoset. In addition, it offers non-orthopedic products comprising HA-based products for non-orthopedic applications including adhesion barrier, advanced wound care, ear, nose, and throat products, as well as ophthalmic products. The company was founded in 1983 and is headquartered in Bedford, Massachusetts."
ANIP,"ANI Pharmaceuticals, Inc., a biopharmaceutical company, develops, manufactures, and markets branded and generic prescription pharmaceuticals in the United States and Canada. It focuses on producing controlled substances, oncology products, hormones and steroids, injectables, and other formulations, including extended release and combination products. The company manufactures oral solid dose products; semi-solids, liquids, and topicals; and potent products, as well as performs contract development and manufacturing of pharmaceutical products. It markets its products through retail pharmacy chains, wholesalers, distributors and mail order pharmacies, and group purchasing organizations. ANI Pharmaceuticals, Inc. was incorporated in 2001 and is headquartered in Baudette, Minnesota."
ANIX,"Anixa Biosciences, Inc., a biotechnology company, develops therapies and vaccines focusing on critical unmet needs in oncology and infectious diseases. The company's therapeutics programs include the development of a chimeric endocrine receptor T-cell therapy, a novel form of chimeric antigen receptor T-cell (CAR-T) technology focusing on the treatment of ovarian cancer; and the development of anti-viral drug candidates for the treatment of COVID-19 focused on inhibiting certain protein functions of the virus. Its vaccine programs comprise the development of a vaccine against triple negative breast cancer; and a preventative vaccine against ovarian cancer. The company is also developing immuno-therapy drugs against cancer. The company was formerly known as ITUS Corporation and changed its name to Anixa Biosciences, Inc. in October 2018. Anixa Biosciences, Inc. was incorporated in 1982 and is based in San Jose, California."
ANNX,"Annexon, Inc., a clinical-stage biopharmaceutical company, discovers and develops therapeutics for autoimmune, neurodegenerative, and ophthalmic disorders. The company's C1q is an initiating molecule of the classical complement pathway that targets distinct disease processes, such as antibody-mediated autoimmune disease and complement-mediated neurodegeneration. Its product candidates include ANX005, a monoclonal antibody, which is in Phase II/III clinical trials to treat patients with guillain- barré syndrome; Phase II trial in patients with warm autoimmune hemolytic anemia; and Phase II clinical trial for Huntington's disease and amyotrophic lateral sclerosis. The company is also developing ANX009 that is in Phase Ib trial in patients with lupus nephritis; and ANX007, which is in Phase II clinical trials to treat patients with geographic atrophy. In addition, it develops ANX105, an investigational monoclonal antibody targeting neurodegenerative indications; and ANX1502, an investigational oral small molecule for the treatment of certain autoimmune indications. The company was incorporated in 2011 and is headquartered in Brisbane, California."
ANSS,"ANSYS, Inc. develops and markets engineering simulation software and services worldwide. It offers ANSYS Workbench, a framework upon which its multiphysics engineering simulation technologies are built and enables engineers to simulate the interactions between structures, heat transfer, fluids, electronics, and optical elements in a unified engineering simulation environment; high-performance computing product suite and the cloud; power analysis and optimization software suite that manages the power budget, power delivery integrity, and power-induced noise in an electronic design; and structural analysis product suite that provides simulation tools for product design and optimization. The company also provides electronics product suite that offers electromagnetic field simulation software for designing electronic and electromechanical products; SCADE product suite, a solution for embedded software simulation, code production, and automated certification; fluids product suite that enables modeling of fluid flow and other related physical phenomena; Ansys Granta products to give access to material intelligence; photonic design and simulation tools; and optical sensor and closed-loop, and real-time simulation, as well as safety-certified embedded software solutions. In addition, the company provides Discovery product family for use in the simulation of product design; and academic product suite used in research and teaching settings, which allows students to become familiar with its simulation software. It serves engineers, designers, researchers, and students in the aerospace and defense, automotive, construction, consumer products, energy, healthcare, high-tech, industrial equipment, and materials and chemical processing industries. ANSYS, Inc. was founded in 1970 and is headquartered in Canonsburg, Pennsylvania."
ANTX,"AN2 Therapeutics, Inc., a clinical-stage biopharmaceutical company, focuses on developing treatments for rare, chronic, and serious infectious diseases. It is developing epetraborole, which is in a pivotal Phase 2/3 clinical trial as a once-daily oral treatment for patients with non-tuberculous mycobacterial lung disease. The company was incorporated in 2017 and is headquartered in Menlo Park, California."
ANY,"Sphere 3D Corp. focuses on operating as a carbon neutral bitcoin mining company. The company also provides data management and desktop and application virtualization solutions through hybrid cloud, cloud, and on-premises implementations directly and through its reseller network and professional services organization. Its products portfolio includes HVE-STACK high density server, which provides computer and storage appliance for the data centers; HVE-VELOCITY, a high availability dual enclosure storage area network that offers reliability and integrity for optimal data storage, protection, and recovery; HVE 3DGFX, a virtual desktop infrastructure solution; HVE STAGE, a server virtualization platform; and HVE VAULT, an appliance designed to handle requirements for backup and replication storage. In addition, the company offers on-site service and installation, and self-service and support services. Sphere 3D Corp. is based in Greenwich, Connecticut."
AOSL,"Alpha and Omega Semiconductor Limited designs, develops, and supplies power semiconductor products for computing, consumer electronics, communication, and industrial applications in Hong Kong, China, South Korea, the United States, and internationally. It offers power discrete products, including metal-oxide-semiconductor field-effect transistors (MOSFET), SRFETs, XSFET, electrostatic discharge, protected MOSFETs, high and mid-voltage MOSFETs, and insulated gate bipolar transistors for use in smart phone chargers, battery packs, notebooks, desktop and servers, data centers, base stations, graphics card, game boxes, TVs, AC adapters, power supplies, motor control, power tools, E-vehicles, white goods and industrial motor drives, UPS systems, solar inverters, and industrial welding. The company also provides power ICs that deliver power, as well as control and regulate the power management variables, such as the flow of current and level of voltage. Its power ICs are used in flat panel displays, TVs, notebooks, graphic cards, servers, DVD/Blu-Ray players, set-top boxes, and networking equipment. In addition, the company offers 650V SiC MOSFET, a switching solutions for solar inverters, motor drives, industrial power supplies, and energy storage systems. Further, it provides 750V SiC MOSFET for electric vehicle systems such as the on-board charge; transient voltage suppressors; silicon carbide product for industrial applications, such as solar inverters, UPS, and battery management systems. Alpha and Omega Semiconductor Limited was incorporated in 2000 and is headquartered in Sunnyvale, California."
AOUT,"American Outdoor Brands, Inc. provides outdoor products and accessories for rugged outdoor enthusiasts in the United States and internationally. It offers hunting, fishing, camping, shooting, and personal security and defense products. The company also provides shooting sports accessories products include rests, vaults, and other related accessories; outdoor lifestyle products, such as premium sportsmen knives and tools for fishing and hunting; land management tools for hunting preparedness; harvesting products for post-hunt or post-fishing activities; outdoor cooking products; and camping, survival, and emergency preparedness products. In addition, it offers electro-optical devices, including hunting optics, firearm aiming devices, flashlights, and laser grips; and reloading, gunsmithing, and firearm cleaning supplies. The company sells its products through e-commerce and traditional distribution channels under the Adventurer, Harvester, Marksman, and Defender brand lanes. American Outdoor Brands, Inc. was incorporated in 2020 and is headquartered in Columbia, Missouri."
APA,"APA Corporation, through its subsidiaries, explores for, develops, and produces natural gas, crude oil, and natural gas liquids. It has operations in the United States, Egypt, and the United Kingdom, as well as has exploration activities offshore Suriname. The company also operates gathering, compression, processing, and transmission assets in West Texas, as well as holds ownership in four Permian Basin long-haul pipeline. APA Corporation was founded in 1954 and is based in Houston, Texas."
APCX,"AppTech Payments Corp., a financial technology company, provides electronic payment processing technologies and merchant services in the United States. Its merchant transaction services offer financial processing payments for credit and debit cards via point of sale equipment, e-commerce gateways, periodic automatic clearing house payments, and gift and loyalty programs. The company also offers integrated solutions for frictionless digital and mobile payment acceptance, including acceptance of alternative payment methods, as well as multi-use case, multi-channel, API-driven, and account-based issuer processing for card, digital tokens, and payment transfer transaction services. The company was formerly known as AppTech Corp. AppTech Payments Corp. was incorporated in 1998 and is headquartered in Carlsbad, California."
